time,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ROC,OSC,Plot,P/S ratio,P/S ratio
1998-04-27,2.98,,,2.7975000000000003,,55.19784985531973,51.104417687271805,,,,,-0.008256137960657071,0.015872318811825714,0.024128456772482786,1.7064846416382191,,,,
1998-05-04,2.95,,,2.8070000000000004,,53.7091101823171,50.90074968254727,,,,,-0.0032934163197475275,0.020011686372798376,0.023305102692545904,-0.673400673400674,,,,
1998-05-11,2.97,,,2.819,,54.58844922932443,50.99457548291087,,,,,0.0010536528901310613,0.024622168805209732,0.02356851591507867,2.0618556701030943,,,,
1998-05-18,3.01,,,2.8302500000000004,,56.37340250220594,51.10070830769622,,,,,0.006060914320520201,0.03114465881572892,0.02508374449520872,4.878048780487793,,,,
1998-05-25,3.18,,,2.8467500000000006,,63.02521228054864,51.88900862656396,,,,,0.019501964772951526,0.049461200461398125,0.0299592356884466,11.578947368421055,,,,
1998-06-01,3.16,,,2.861,,61.830786937042234,52.727643030825746,,,,,0.025354743671839416,0.061652665278245866,0.03629792160640645,8.59106529209622,,,,
1998-06-08,3.26,,,2.8775000000000004,,65.36516131024555,53.887749473272876,,,,,0.03374485969763129,0.07847899622844556,0.044734136530814275,14.788732394366196,,,,
1998-06-15,3.28,,,2.8940000000000006,,66.04241414244493,54.88303962935304,,,,,0.03810318126554931,0.09236311311275092,0.054259931847201605,20.146520146520142,,,,
1998-06-22,3.28,,,2.9112500000000003,,66.04241414244493,56.13383913013829,,,,,0.03834278362379641,0.10218841137694712,0.06384562775315071,11.564625850340132,,,,
1998-06-29,3.41,,,2.9322500000000007,,70.40495396058904,58.05705010388356,,,,,0.04419719755919918,0.1190921247021497,0.07489492714295051,19.23076923076924,,,,
1998-07-06,3.38,,,2.9515000000000007,,68.2266463611418,59.11305008585729,,,,,0.04295240799749529,0.12858543713981962,0.08563302914232433,18.596491228070168,,,,
1998-07-13,3.29,,,2.971000000000001,,62.02653556288005,59.98361877531674,,,,,0.033396272088708184,0.12737836925320956,0.09398209716450137,17.081850533807827,,,,
1998-07-20,3.3,,,2.9925000000000006,,62.43501557773589,60.915391370127374,,,,,0.025437343264515258,0.12577877624514544,0.10034143298063018,10.738255033557042,,,,
1998-07-27,3.38,,,3.0125000000000006,,65.62109973254394,62.20636084119888,,,,,0.023305992714864193,0.12947392387421042,0.10616793115934622,14.576271186440668,,,,
1998-08-03,3.55,,,3.026500000000001,,71.20927747686247,63.35003424273765,,,,,0.030629454918321003,0.14445474980724748,0.11382529488892648,19.528619528619515,,,,
1998-08-10,3.78,,,3.050250000000001,,76.72221921948437,64.99382774539245,,,,,0.04725435170071071,0.17289323451481486,0.12563888281410415,25.581395348837212,,,,
1998-08-17,4.09,,,3.0805000000000007,,81.78490361003043,66.9364316297286,,,,,0.07383541379708575,0.21793315006046132,0.14409773626337558,28.61635220125785,,,,
1998-08-24,4.87,,,3.1297500000000005,,88.53911870324265,69.2339827869455,,,,,0.1350894003819668,0.31295948674083407,0.17787008635886728,54.11392405063291,,,,
1998-08-31,5.36,,,3.1912500000000006,,90.83759089253468,71.22058125923023,,,,,0.19604965053950874,0.4229321495332532,0.22688249899374446,64.41717791411045,,,,
1998-09-07,5.7,,,3.2635000000000005,,92.03172492865176,73.37779111577376,,,,,0.24361066896672334,0.5313958352021486,0.28778516623542527,73.78048780487806,,,,
1998-09-14,5.79,,,3.334750000000001,,92.3171638836732,75.30293415673289,,,,,0.2637704274084503,0.6174982004959881,0.35372777308753783,76.52439024390245,,,,
1998-09-21,5.76,,,3.405500000000001,,91.1451149328123,77.09598421318769,,,,,0.25743949327450244,0.6755271396806659,0.41808764640616347,68.9149560117302,,,,
1998-09-28,6.11,,,3.4850000000000008,,92.36326910422943,78.97604528188658,,,,,0.25850053984367893,0.7412133212107621,0.4827127813670832,80.76923076923079,,,,
1998-10-05,6.32,,,3.5675000000000003,,92.98668596988655,80.58902613969356,,,,,0.2546154669425975,0.80098211504533,0.5463666481027325,92.09726443768997,,,,
1998-10-12,6.78,,,3.6580000000000004,,94.11917179136728,82.4384922418525,,,,,0.2632080199229099,0.8753766730063699,0.61216865308346,105.45454545454548,,,,
1998-10-19,6.37,,,3.742000000000001,,81.48875004070582,83.82865041884007,,,,,0.22304959940786784,0.8909806523432948,0.667931052935427,88.46153846153847,,,,
1998-10-26,6.52,,,3.8325000000000005,,82.41834059872672,85.25603077748227,,,,,0.1896697005138286,0.9050181785777127,0.7153484780638841,83.66197183098592,,,,
1998-11-02,5.95,,,3.906250000000001,,68.36826133727713,85.45225660639177,,,,,0.11590726354531777,0.8602325574955314,0.7443252939502136,57.40740740740742,,,,
1998-11-09,5.73,,,3.9762500000000003,,63.84439083973575,84.92619327516843,,,,,0.04277258912096804,0.7977910303514237,0.7550184412304557,40.097799511002464,,,,
1998-11-16,5.45,,,4.038250000000001,,58.535598635248846,83.62714894772304,,,,,-0.030061322631511622,0.7174417879410662,0.7475031105725778,11.909650924024643,,,,
1998-11-23,5.34,,3.3164,4.099,,56.546315378554105,81.82439264547473,,,,,-0.08797112947754615,0.6375391987256451,0.7255103282031913,-0.3731343283582175,,,,
1998-11-30,5.53,,3.3407999999999998,4.1655,,59.12992893773826,79.72373623365299,,,,,-0.11414526558578231,0.5828287462209634,0.6969740118067457,-2.982456140350876,,,,
1998-12-07,5.56,,3.3648,4.23325,,59.53899173626507,77.48812200820517,,,,,-0.12900667269351718,0.5357156709398492,0.6647223436333664,-3.972366148531959,,,,
1998-12-14,5.63,,3.3907,4.3012500000000005,,60.53163945277824,75.23811590278562,,,,,-0.13315168205467942,0.498282741065017,0.6314344231196964,-2.256944444444443,,,,
1998-12-21,5.39,,3.4152,4.365,,55.50382496631892,72.60859169440319,,,,,-0.14984256884565583,0.4441312120626266,0.5939737809082825,-11.783960720130942,,,,
1998-12-28,5.66,,3.4414,4.43825,,59.572141631687266,70.35337931575141,,,,,-0.14063347461819498,0.4181819376355387,0.5588154122537337,-10.443037974683547,,,,
1999-01-04,5.41,,3.4648999999999996,4.5,,54.59472829988133,67.6556264011551,,,,,-0.14853818304040467,0.3731426834532279,0.5216808664936325,-20.206489675516224,,,,
1999-01-11,5.62,,3.4905999999999993,4.569000000000001,,57.78543429586815,65.14125128158237,,,,,-0.13706043961511172,0.35035531697474287,0.4874157565898546,-11.773940345368917,,,,
1999-01-18,5.59,,3.5176,4.6375,,57.16739575077568,62.50183870725441,,,,,-0.1290396839986026,0.32611615159160134,0.45515583559020395,-14.263803680981592,,,,
1999-01-25,5.6,,3.5463,4.70725,,57.33121723720588,60.77630064986154,,,,,-0.12075934853615872,0.30420664992000557,0.4249659984561643,-5.88235294117648,,,,
1999-02-01,5.36,,3.5725,4.76675,,52.1736648198594,58.61596666565673,,,,,-0.1284295632947256,0.26442904433775727,0.39285860763248287,-6.4572425828970355,,,,
1999-02-08,5.24,,3.5983,4.824,,49.76312229649483,57.2870281627437,,,,,-0.13774435197474122,0.22067816766405635,0.35842251963879757,-3.853211009174311,,,,
1999-02-15,5.23,,3.6236999999999995,4.8805000000000005,,49.5576385410525,56.26654585569489,,,,,-0.14026774085255467,0.18308784357310426,0.3233555844256589,-2.0599250936329483,,,,
1999-02-22,5.21,,3.6491,4.9355,,49.12077105129277,55.594058171126605,,,,,-0.13872060977447492,0.14995482220756529,0.2886754319820402,-5.786618444846297,,,,
1999-03-01,5.28,,3.6727,4.988,,50.75697185869662,55.180533633993925,,,,,-0.12864349674118308,0.12787106105556134,0.2565145577967444,-5.035971223021572,,,,
1999-03-08,5.29,,3.6969,5.041250000000001,,50.99940060598813,54.599781610297484,,,,,-0.11728407046650377,0.1099094697136147,0.22719354018011848,-6.0390763765541715,,,,
1999-03-15,5.21,,3.7198999999999995,5.090000000000001,,48.92430229388032,53.84158950727,,,,,-0.11119267061340732,0.08820270191335933,0.19939537252676665,-3.3395176252319057,,,,
1999-03-22,5.18,,3.7439,5.137500000000001,,48.13337623973872,52.95599927776717,,,,,-0.1052781751294126,0.0677976536150009,0.1730758287444135,-8.480565371024742,,,,
1999-03-29,5.17,,3.7665999999999995,5.18475,,47.85565573798628,52.40970147574342,,,,,-0.09826830397021674,0.05024044878164258,0.14850875275185932,-4.4362292051756045,,,,
1999-04-05,5.16,,3.7901,5.2285,,47.56013404308806,51.551700933700616,,,,,-0.09071536824580356,0.03511454244460488,0.12582991069040844,-8.185053380782918,,,,
1999-04-12,4.96,,3.8128999999999995,5.268000000000001,,41.97695326352227,50.6504312882464,,,,,-0.09513658499542044,0.006909179446132896,0.10204576444155333,-11.270125223613594,,,,
1999-04-19,4.93,,3.8358,5.309,,41.195744831647346,49.465453469373486,,,,,-0.095765362679788,-0.017660938908181656,0.07810442377160634,-11.964285714285715,,,,
1999-04-26,4.76,,3.8566,5.3455,,36.99426084341806,48.0245152617051,,,,,-0.1027003557661746,-0.05027102093611191,0.05242933483006269,-11.19402985074628,,,,
1999-05-03,4.62,,3.8758,5.376500000000001,,33.925646676163126,46.35268879305919,,,,,-0.11107581389826487,-0.0864154325427684,0.024660381355496475,-11.832061068702293,,,,
1999-05-10,4.66,,3.8962,5.40425,,35.57006483788504,45.1667173657753,,,,,-0.10817472852410366,-0.1105580292996331,-0.0023833007755294407,-10.898661567877634,,,,
1999-05-17,4.77,,3.9175,5.429,,39.99288677593318,44.468843400020894,,,,,-0.09364401527726432,-0.11943831987210984,-0.025794304594845524,-8.445297504798473,,,,
1999-05-24,4.74,,3.9385999999999997,5.445250000000001,,39.20250158446491,43.72919076026464,,,,,-0.08130683986384579,-0.12742785442465276,-0.04612101456080697,-10.227272727272727,,,,
1999-05-31,4.7,,3.9577,5.441000000000001,,38.1207176460278,42.94347265988857,,,,,-0.07144412849335788,-0.13542617517750433,-0.06398204668414645,-11.153119092627596,,,,
1999-06-07,4.6,,3.9760999999999997,5.422000000000001,,35.48444989555448,41.85257823394984,,,,,-0.06731560708260467,-0.14812655553740228,-0.08081094845479761,-11.70825335892515,,,,
1999-06-14,4.73,,3.9966999999999997,5.39775,,41.17935231552911,41.151146213202765,,,,,-0.05216610020015103,-0.1460185737049864,-0.09385247350483536,-8.687258687258675,,,,
1999-06-21,4.6,,4.0161,5.368,,37.6045881014605,40.3425951994585,,,,,-0.04737671081827702,-0.15307336202768163,-0.10569665120940461,-11.025145067698265,,,,
1999-06-28,4.79,,4.0383,5.343750000000001,,45.10515950265366,40.12629400395242,,,,,-0.02880227655349403,-0.14169949690127215,-0.11289722034777812,-7.170542635658918,,,,
1999-07-05,4.78,,4.0612,5.3105,,44.799913523629755,39.90802670292695,,,,,-0.015259232302926348,-0.13197126072643606,-0.11671202842350971,-3.6290322580645102,,,,
1999-07-12,4.79,,4.0835,5.2722500000000005,,45.19930106182903,39.73939577569416,,,,,-0.004268582444082181,-0.12204775647861243,-0.11777917403453025,-2.839756592292083,,,,
1999-07-19,4.77,,4.106,5.222,,44.50573881378211,39.92002331499844,,,,,0.002641327079641667,-0.11447751518497817,-0.11711884226461984,0.2100840336134409,,,,
1999-07-26,4.66,,4.1267000000000005,5.179250000000001,,40.79775863759921,39.89159572970929,,,,,0.0008816688807829487,-0.11601675616364115,-0.1168984250444241,0.8658008658008666,,,,
1999-08-02,4.74,,4.1481,5.134750000000001,,44.42426613850611,40.42231039364414,,,,,0.005903684404962611,-0.10951881953822085,-0.11542250394318346,1.716738197424894,,,,
1999-08-09,4.78,,4.1697,5.105500000000001,,46.19885059257918,41.29896781624529,,,,,0.012346897039966123,-0.09998888264322581,-0.11233577968319193,0.20964360587003514,,,,
1999-08-16,4.89,,4.192699999999999,5.0845,,50.84698820815393,42.390176628407346,,,,,0.023782220029002113,-0.08260800464693929,-0.1063902246759414,3.164556962025305,,,,
1999-08-23,4.93,,4.2163,5.0715,,52.45555534589667,43.2803672405476,,,,,0.03322560159030506,-0.06485822268806007,-0.09808382427836514,4.893617021276586,,,,
1999-08-30,4.99,,4.2401,5.062749999999999,,54.84277429544544,44.39752957704621,,,,,0.042126060598612444,-0.04542624853009958,-0.08755230912871202,8.478260869565231,,,,
1999-09-06,5.01,,4.2651,5.04975,,55.642286421878005,45.649070203892656,,,,,0.04757092913429552,-0.02808864771084263,-0.07565957684513815,5.919661733615208,,,,
1999-09-13,5.07,,4.291399999999999,5.0375,,58.042308966543345,47.26034585182043,,,,,0.05300875428439254,-0.009398633989647465,-0.06240738827404001,10.21739130434784,,,,
1999-09-20,5.26,,4.3182,5.02825,,64.57818763148185,48.93169123153133,,,,,0.06633258361962156,0.02050834125048695,-0.04582424236913461,9.81210855949895,,,,
1999-09-27,5.06,,4.3389,5.0200000000000005,,54.88612809057556,50.16608694503956,,,,,0.05886067618580561,0.027751602863122393,-0.03110907332268321,5.857740585774045,,,,
1999-10-04,5,,4.3606,5.0035,,52.347873371758524,50.683423649975616,,,,,0.047546411107099396,0.02832394056119103,-0.019222470545908362,4.384133611691023,,,,
1999-10-11,4.94,,4.3812,4.99175,,49.864463290767674,51.04517720477118,,,,,0.034308575278213245,0.023663248551858196,-0.010645326726355049,3.5639412997903737,,,,
1999-10-18,4.93,,4.4015,4.9745,,49.443454046576065,51.34833098939596,,,,,0.023671718805421765,0.018944321780422158,-0.004727397024999608,5.793991416309003,,,,
1999-10-25,5.13,,4.4238,4.963,,57.22256403194299,52.25667564783602,,,,,0.02857046416281801,0.030985683178522905,0.0024152190157048954,8.227848101265817,,,,
1999-11-01,5.16,,4.4473,4.952,,58.26004569249626,53.50398186604296,,,,,0.03203570273028569,0.042459847428562014,0.01042414469827632,7.9497907949790765,,,,
1999-11-08,5.18,,4.4697,4.947500000000001,,58.97440060853414,54.54327718533067,,,,,0.03370960099687015,0.05256114594436401,0.01885154494749386,5.930470347648263,,,,
1999-11-15,5.05,,4.4909,4.942750000000001,,52.66507662606726,55.00515047343696,,,,,0.024523492781696722,0.04950591092461476,0.024982418142918038,2.4340770791075075,,,,
1999-11-22,4.97,,4.5113,4.93625,,49.17830002011849,54.88595846000586,,,,,0.012147083059250791,0.040166271966981526,0.028019188907730735,-0.40080160320642205,,,,
1999-11-29,4.91,,4.5302,4.928750000000001,,46.68199986965409,54.47356164027425,,,,,-0.0003314863758866124,0.02760483093787247,0.027936317313759083,-1.9960079840319291,,,,
1999-12-06,4.88,,4.5474,4.918750000000001,,45.440014611829326,53.80193594858738,,,,,-0.010304654871094481,0.015055498724890981,0.025360153595985462,-3.7475345167652936,,,,
